subject,condition,correct
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
1,size,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,0
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
2,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
3,angle,1
4,both,0
4,both,1
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,1
4,both,1
4,both,0
4,both,0
4,both,0
4,both,1
4,both,0
4,both,1
4,both,0
4,both,1
4,both,0
4,both,0
4,both,1
4,both,1
4,both,1
4,both,1
4,both,0
4,both,1
4,both,0
4,both,1
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,1
4,both,0
4,both,0
4,both,0
4,both,1
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
4,both,0
5,both,1
5,both,1
5,both,1
5,both,1
5,both,1
5,both,1
5,both,1
5,both,1
5,both,1
5,both,1
5,both,1
5,both,0
5,both,1
5,both,1
5,both,1
5,both,1
5,both,1
5,both,1
