subject,condition,correct
1,both,0
1,both,0
1,both,0
1,both,0
1,both,0
1,both,1
1,both,1
1,both,0
1,both,0
1,both,0
1,both,0
1,both,0
1,both,0
1,both,1
1,both,0
1,both,1
1,both,0
1,both,0
1,both,0
1,both,1
1,both,0
1,both,1
1,both,0
1,both,0
1,both,0
1,both,0
1,both,1
1,both,0
1,both,1
1,both,0
1,both,0
1,both,0
1,both,0
1,both,1
1,both,0
1,both,0
1,both,0
1,both,1
1,both,0
1,both,0
1,both,0
1,both,1
1,both,1
1,both,0
1,both,0
1,both,0
1,both,0
1,both,0
1,both,0
1,both,1
1,both,0
1,both,0
1,both,1
1,both,0
1,both,0
1,both,0
1,both,1
1,both,0
1,both,0
1,both,0
1,both,0
1,both,0
1,both,0
1,both,0
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,0
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,0
2,size,1
2,size,1
2,size,0
2,size,0
2,size,1
2,size,1
2,size,0
2,size,0
2,size,1
2,size,0
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,0
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,1
2,size,0
2,size,0
2,size,1
3,size,1
3,size,0
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,0
3,size,1
3,size,1
3,size,1
3,size,1
3,size,0
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,0
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,0
3,size,1
3,size,1
3,size,1
3,size,1
3,size,0
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,1
3,size,0
4,size,1
4,size,1
4,size,0
4,size,0
4,size,1
4,size,0
4,size,1
4,size,1
4,size,1
4,size,1
4,size,0
4,size,1
4,size,0
4,size,1
4,size,0
4,size,1
4,size,1
4,size,1
4,size,0
4,size,1
4,size,0
4,size,1
4,size,1
4,size,1
4,size,0
4,size,1
4,size,1
4,size,1
4,size,1
4,size,1
4,size,1
4,size,1
4,size,1
4,size,1
4,size,0
4,size,1
4,size,1
4,size,1
4,size,1
4,size,0
4,size,0
4,size,1
4,size,1
4,size,1
4,size,1
4,size,1
4,size,1
4,size,1
4,size,1
4,size,1
4,size,0
4,size,0
4,size,1
4,size,1
4,size,0
4,size,0
4,size,0
4,size,1
4,size,0
4,size,1
4,size,1
4,size,1
4,size,0
4,size,1
5,size,0
5,size,1
5,size,0
5,size,0
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,0
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,0
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,0
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,0
5,size,0
5,size,0
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,0
5,size,1
5,size,0
5,size,1
5,size,1
5,size,1
5,size,1
5,size,0
5,size,0
5,size,1
5,size,0
5,size,0
5,size,1
5,size,1
5,size,0
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
5,size,1
6,both,0
6,both,0
6,both,1
6,both,1
6,both,1
6,both,1
6,both,1
6,both,1
6,both,1
6,both,0
6,both,1
6,both,1
6,both,1
6,both,0
6,both,0
6,both,1
6,both,1
6,both,1
6,both,0
6,both,1
6,both,1
6,both,1
6,both,0
6,both,0
6,both,0
6,both,0
6,both,0
6,both,0
6,both,1
6,both,0
6,both,0
6,both,1
6,both,0
6,both,0
6,both,0
6,both,1
6,both,0
6,both,1
6,both,1
6,both,0
6,both,0
6,both,0
6,both,0
6,both,1
6,both,0
6,both,0
6,both,0
6,both,1
6,both,1
6,both,1
6,both,1
6,both,0
6,both,0
6,both,0
6,both,0
6,both,1
6,both,1
6,both,0
6,both,1
6,both,0
6,both,0
6,both,0
6,both,0
6,both,1
7,angle,1
7,angle,1
7,angle,1
7,angle,0
7,angle,0
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,0
7,angle,1
7,angle,1
7,angle,1
7,angle,0
7,angle,0
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,0
7,angle,0
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,0
7,angle,0
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,1
7,angle,0
8,size,1
8,size,1
8,size,1
8,size,0
8,size,1
8,size,1
8,size,1
8,size,0
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,0
8,size,1
8,size,1
8,size,1
8,size,1
8,size,0
8,size,1
8,size,1
8,size,0
8,size,0
8,size,0
8,size,1
8,size,1
8,size,0
8,size,1
8,size,0
8,size,1
8,size,1
8,size,0
8,size,0
8,size,0
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,0
8,size,0
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,1
8,size,0
8,size,1
8,size,1
8,size,1
8,size,1
9,both,0
9,both,0
9,both,1
9,both,1
9,both,0
9,both,1
9,both,1
9,both,1
9,both,1
9,both,1
9,both,0
9,both,1
9,both,0
9,both,1
9,both,0
9,both,1
9,both,0
9,both,1
9,both,1
9,both,0
9,both,0
9,both,0
9,both,0
9,both,0
9,both,0
9,both,0
9,both,0
9,both,1
9,both,0
9,both,1
9,both,1
9,both,1
9,both,1
9,both,1
9,both,0
9,both,1
9,both,1
9,both,1
9,both,1
9,both,0
9,both,0
9,both,1
9,both,1
9,both,0
9,both,0
9,both,0
9,both,0
9,both,1
9,both,0
9,both,0
9,both,1
9,both,1
9,both,1
9,both,0
9,both,1
9,both,1
9,both,0
9,both,1
9,both,1
9,both,1
9,both,0
9,both,1
9,both,1
9,both,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,0
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,0
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,0
10,size,1
10,size,1
10,size,1
10,size,1
10,size,0
10,size,0
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
10,size,1
11,both,0
11,both,0
11,both,1
11,both,1
11,both,1
11,both,0
11,both,0
11,both,0
11,both,1
11,both,1
11,both,0
11,both,0
11,both,0
11,both,1
11,both,0
11,both,0
11,both,1
11,both,0
11,both,0
11,both,1
11,both,1
11,both,1
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,1
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,1
11,both,0
11,both,0
11,both,1
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,1
11,both,0
11,both,1
11,both,0
11,both,1
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,0
11,both,1
11,both,1
11,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,1
12,both,1
12,both,0
12,both,1
12,both,0
12,both,1
12,both,0
12,both,0
12,both,1
12,both,0
12,both,0
12,both,0
12,both,1
12,both,1
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,1
12,both,0
12,both,0
12,both,0
12,both,1
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,1
12,both,0
12,both,0
12,both,0
12,both,1
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,0
12,both,1
12,both,0
12,both,0
12,both,1
12,both,0
12,both,0
13,size,0
13,size,1
13,size,1
13,size,1
13,size,1
13,size,1
13,size,0
13,size,0
13,size,0
13,size,0
13,size,1
13,size,1
13,size,0
13,size,0
13,size,1
13,size,1
13,size,1
13,size,1
13,size,0
13,size,1
13,size,0
13,size,0
13,size,0
13,size,1
13,size,1
13,size,0
13,size,0
13,size,1
13,size,1
13,size,0
13,size,0
13,size,0
13,size,0
13,size,1
13,size,1
13,size,0
13,size,0
13,size,1
13,size,0
13,size,1
13,size,0
13,size,1
13,size,1
13,size,0
13,size,1
13,size,1
13,size,1
13,size,1
13,size,1
13,size,1
13,size,1
13,size,0
13,size,1
13,size,1
13,size,1
13,size,1
13,size,1
13,size,1
13,size,1
13,size,1
13,size,0
13,size,1
13,size,1
13,size,0
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,0
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,0
14,angle,1
14,angle,1
14,angle,1
14,angle,1
14,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
15,angle,1
16,both,0
16,both,1
16,both,0
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,0
16,both,1
16,both,0
16,both,1
16,both,1
16,both,0
16,both,0
16,both,1
16,both,1
16,both,1
16,both,0
16,both,1
16,both,0
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,0
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,0
16,both,1
16,both,0
16,both,1
16,both,0
16,both,0
16,both,1
16,both,0
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,0
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
16,both,1
17,both,1
17,both,1
17,both,1
17,both,0
17,both,1
17,both,1
17,both,1
17,both,1
17,both,1
17,both,1
17,both,0
17,both,1
17,both,0
17,both,1
17,both,0
17,both,1
17,both,1
17,both,0
17,both,1
17,both,0
17,both,0
17,both,1
17,both,1
17,both,0
17,both,1
17,both,1
17,both,1
17,both,1
17,both,1
17,both,0
17,both,1
17,both,1
17,both,1
17,both,1
17,both,1
17,both,0
17,both,1
17,both,1
17,both,0
17,both,1
17,both,1
17,both,1
17,both,1
17,both,1
17,both,1
17,both,0
17,both,1
17,both,1
17,both,1
17,both,0
17,both,0
17,both,1
17,both,1
17,both,0
17,both,1
17,both,0
17,both,1
17,both,1
17,both,0
17,both,0
17,both,0
17,both,0
17,both,1
17,both,0
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,0
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,0
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,0
18,size,1
18,size,0
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,1
18,size,0
18,size,1
18,size,1
18,size,1
18,size,0
18,size,1
18,size,1
18,size,0
18,size,0
18,size,0
18,size,0
18,size,1
18,size,1
18,size,1
18,size,0
18,size,0
18,size,1
18,size,0
18,size,1
18,size,0
18,size,0
18,size,0
18,size,0
18,size,1
18,size,1
18,size,1
18,size,1
18,size,0
18,size,1
19,size,1
19,size,0
19,size,0
19,size,0
19,size,0
19,size,0
19,size,0
19,size,0
19,size,0
19,size,1
19,size,0
19,size,1
19,size,0
19,size,0
19,size,0
19,size,0
19,size,0
19,size,0
19,size,1
19,size,0
19,size,1
19,size,0
19,size,0
19,size,0
19,size,0
19,size,0
19,size,0
19,size,0
19,size,0
